time=0; height=600000; velocity=0; h=29237.471915600276
time=1; height=600003; velocity=7; h=29237.66503946197
time=2; height=600015; velocity=16; h=29238.249126305815
time=3; height=600036; velocity=24; h=29239.229580635776
time=4; height=600064; velocity=32; h=29240.613476404553
time=5; height=600101; velocity=41; h=29242.405622355287
time=6; height=600146; velocity=49; h=29244.61653715976
time=7; height=600200; velocity=58; h=29247.25169931778
time=8; height=600263; velocity=67; h=29250.318307901955
time=9; height=600335; velocity=76; h=29253.823698228924
time=10; height=600416; velocity=85; h=29257.779522838257
time=11; height=600507; velocity=95; h=29262.185502670938
time=12; height=600606; velocity=104; h=29267.053130554064
time=13; height=600716; velocity=114; h=29272.390322562587
time=14; height=600835; velocity=124; h=29278.205149426143
time=15; height=600964; velocity=134; h=29284.505840583428
time=16; height=601104; velocity=144; h=29291.300788372253
time=17; height=601253; velocity=154; h=29298.59855236195
time=18; height=601413; velocity=165; h=29306.407863833767
time=19; height=601584; velocity=176; h=29314.72903767199
time=20; height=601765; velocity=187; h=29323.58781398891
time=21; height=601958; velocity=198; h=29332.985399693076
time=22; height=602162; velocity=209; h=29342.93126071231
time=23; height=602377; velocity=220; h=29353.435059536754
time=24; height=602604; velocity=232; h=29364.50666073242
time=25; height=602842; velocity=244; h=29376.156136654237
time=26; height=603093; velocity=256; h=29388.393773368713
time=27; height=603355; velocity=268; h=29401.230076794935
time=28; height=603631; velocity=281; h=29414.675779074165
time=29; height=603918; velocity=294; h=29428.741845179273
time=30; height=604219; velocity=307; h=29443.43947977443
time=31; height=604533; velocity=320; h=29458.78013433756
time=32; height=604860; velocity=333; h=29474.775514558234
time=33; height=605200; velocity=347; h=29491.437588023928
time=34; height=605554; velocity=361; h=29508.778592209073
time=35; height=605923; velocity=375; h=29526.811042782094
time=36; height=606305; velocity=389; h=29545.547742245788
time=37; height=606702; velocity=404; h=29565.001788927988
time=38; height=607114; velocity=419; h=29585.186586341068
time=39; height=607541; velocity=434; h=29606.137159462214
time=40; height=607984; velocity=449; h=29627.825704404077
time=41; height=608441; velocity=465; h=29650.287155794347
time=42; height=608915; velocity=481; h=29673.536239882822
time=43; height=609405; velocity=498; h=29697.58804114358
time=44; height=609911; velocity=514; h=29722.45801428721
time=45; height=610434; velocity=531; h=29748.161989931552
time=46; height=610974; velocity=548; h=29774.71605486901
time=47; height=611532; velocity=566; h=29802.13635021564
time=48; height=612107; velocity=584; h=29830.439009105245
time=49; height=612700; velocity=602; h=29859.640116547722
time=50; height=613312; velocity=620; h=29889.755665357443
time=51; height=613942; velocity=639; h=29920.80150789033
time=52; height=614590; velocity=658; h=29952.79330334042
time=53; height=615258; velocity=677; h=29985.74646034166
time=54; height=615946; velocity=697; h=30019.6760746201
time=55; height=616653; velocity=717; h=30054.596861443675
time=56; height=617380; velocity=737; h=30090.523082622887
time=57; height=618127; velocity=758; h=30127.468467819956
time=58; height=618894; velocity=779; h=30165.446129938966
time=59; height=619682; velocity=800; h=30204.468474382677
time=60; height=620491; velocity=822; h=30244.547101982826
time=61; height=621321; velocity=844; h=30285.692705433707
time=62; height=622172; velocity=866; h=30327.914959093738
time=63; height=623045; velocity=889; h=30371.222402049352
time=64; height=623938; velocity=912; h=30415.622314384585
time=65; height=624853; velocity=932; h=30461.115914119102
time=66; height=625772; velocity=924; h=30506.83901711412
time=67; height=626682; velocity=915; h=30552.14855454927
time=68; height=627583; velocity=906; h=30597.044828342296
time=69; height=628475; velocity=897; h=30641.52813567266
time=70; height=629358; velocity=888; h=30685.5987690548
time=71; height=630232; velocity=879; h=30729.257016407504
time=72; height=631098; velocity=870; h=30772.503161123423
time=73; height=631954; velocity=862; h=30815.337482135892
time=74; height=632802; velocity=853; h=30857.76025398501
time=75; height=633641; velocity=844; h=30899.771746882543
